               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064085,            0.035322,                   0,          1.0173e-05,           0.0012594,          5.0934e-06,          1.6977e-06,             0.06007,            0.040741,                   0,             0.00196,             0.00196,             0.08236
                   1,            0.048115,            0.037158,                   0,            0.036095,             0.09794,            0.013646,           0.0039844,            0.051791,            0.040434,                   0,           0.0039279,           0.0039279,            0.064628
                   2,            0.042564,            0.035185,                   0,             0.18076,             0.14064,            0.085959,               0.031,            0.043446,            0.038644,                   0,           0.0058872,           0.0058872,            0.046887
                   3,            0.039742,            0.032856,                   0,             0.23037,             0.14903,             0.10223,            0.035693,            0.045723,            0.037265,                   0,           0.0078317,           0.0078317,            0.029132
                   4,            0.037749,            0.032221,                   0,             0.28948,             0.21662,              0.1461,            0.040043,            0.044169,             0.03564,                   0,           0.0097549,           0.0097549,            0.011355
                   5,            0.037658,            0.030485,                   0,             0.44286,             0.27797,             0.25717,             0.10638,            0.046038,            0.033208,                   0,           0.0098651,           0.0098651,           0.0098651
                   6,             0.03548,            0.028069,                   0,             0.61688,             0.39505,             0.43334,             0.15514,            0.040049,            0.028576,                   0,           0.0098651,           0.0098651,           0.0098651
                   7,            0.033861,            0.026403,                   0,             0.42954,             0.25945,             0.21602,            0.053111,             0.04529,            0.026321,                   0,           0.0098062,           0.0098062,           0.0098062
                   8,            0.033081,            0.025231,                   0,             0.68805,             0.45592,              0.4891,             0.17754,            0.038042,            0.027265,                   0,           0.0097369,           0.0097369,           0.0097369
                   9,            0.031007,             0.02514,                   0,             0.69313,             0.39673,             0.46717,              0.1976,            0.039448,            0.031726,                   0,           0.0096575,           0.0096575,           0.0096575
                  10,            0.030305,            0.024027,                   0,             0.83164,             0.51553,             0.61155,             0.23515,            0.034249,            0.024931,                   0,            0.009568,            0.009568,            0.009568
                  11,            0.030547,            0.022873,                   0,             0.79548,             0.52309,             0.61449,             0.23769,            0.035302,            0.024574,                   0,           0.0094686,           0.0094686,           0.0094686
