               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063533,            0.032997,                   0,          4.9237e-06,          0.00040833,          2.4681e-06,          2.4681e-07,            0.047041,             0.05725,                   0,             0.00212,             0.00212,             0.08092
                   1,            0.047852,            0.034523,                   0,             0.13245,             0.17885,            0.066065,            0.017794,            0.040065,            0.052502,                   0,           0.0042477,           0.0042477,            0.061748
                   2,            0.042581,             0.03107,                   0,             0.27942,             0.18824,             0.14662,            0.047383,            0.037264,            0.048952,                   0,           0.0063662,           0.0063662,            0.042566
                   3,             0.03872,            0.030034,                   0,             0.22318,             0.15884,             0.11423,            0.036284,            0.036874,            0.048816,                   0,           0.0084686,           0.0084686,            0.023369
                   4,            0.038877,            0.028299,                   0,             0.28567,             0.20008,             0.15139,            0.052207,            0.038905,            0.049126,                   0,           0.0099135,           0.0099135,           0.0099135
                   5,            0.037877,            0.027599,                   0,              0.4417,             0.30625,             0.28272,             0.10322,             0.03285,            0.043385,                   0,           0.0099135,           0.0099135,           0.0099135
                   6,            0.035117,            0.025748,                   0,             0.60913,             0.29767,             0.33144,             0.13581,            0.031012,            0.047657,                   0,           0.0098651,           0.0098651,           0.0098651
                   7,            0.033247,            0.024631,                   0,             0.65092,             0.37689,             0.42849,             0.16021,            0.030456,            0.040045,                   0,           0.0098062,           0.0098062,           0.0098062
                   8,             0.03258,             0.02351,                   0,             0.80512,             0.38424,             0.47948,              0.2011,            0.029982,            0.043267,                   0,           0.0097369,           0.0097369,           0.0097369
                   9,            0.031251,            0.022736,                   0,             0.81739,             0.44059,             0.54445,             0.22896,            0.028239,            0.037044,                   0,           0.0096575,           0.0096575,           0.0096575
                  10,            0.030249,            0.022329,                   0,             0.72093,             0.39873,             0.45552,             0.20883,            0.030481,            0.045031,                   0,            0.009568,            0.009568,            0.009568
                  11,            0.030046,            0.021095,                   0,             0.84342,             0.47693,             0.60322,             0.26661,            0.026711,            0.034984,                   0,           0.0094686,           0.0094686,           0.0094686
                  12,            0.028688,            0.020426,                   0,             0.77461,             0.51923,             0.59862,             0.27099,            0.027093,            0.034828,                   0,           0.0093598,           0.0093598,           0.0093598
                  13,            0.028406,            0.020212,                   0,             0.82422,              0.5096,             0.60507,             0.27171,            0.026474,            0.037362,                   0,           0.0092416,           0.0092416,           0.0092416
                  14,             0.02846,            0.019886,                   0,              0.7698,             0.52185,             0.59833,             0.28043,            0.026888,            0.035664,                   0,           0.0091144,           0.0091144,           0.0091144
                  15,            0.027516,            0.019094,                   0,             0.80953,              0.5341,             0.61661,             0.30355,            0.025373,            0.035104,                   0,           0.0089785,           0.0089785,           0.0089785
                  16,            0.025993,            0.018363,                   0,             0.85562,             0.54716,             0.64108,             0.30508,            0.025551,             0.03396,                   0,           0.0088343,           0.0088343,           0.0088343
                  17,            0.027015,             0.01796,                   0,             0.84997,             0.53695,             0.64838,             0.30223,            0.024742,            0.033806,                   0,            0.008682,            0.008682,            0.008682
                  18,            0.025825,            0.017954,                   0,               0.795,              0.5099,             0.57754,             0.26172,             0.02648,             0.03721,                   0,            0.008522,            0.008522,            0.008522
                  19,            0.027032,             0.01775,                   0,             0.78725,                0.51,             0.59314,             0.28792,            0.025853,            0.037593,                   0,           0.0083548,           0.0083548,           0.0083548
                  20,            0.025252,            0.017096,                   0,             0.88325,             0.54553,             0.65428,             0.30722,             0.02638,            0.035178,                   0,           0.0081806,           0.0081806,           0.0081806
                  21,            0.025072,            0.016764,                   0,             0.82525,              0.5052,             0.59956,             0.27094,            0.026224,            0.037207,                   0,           0.0080001,           0.0080001,           0.0080001
                  22,            0.025037,            0.016239,                   0,             0.84743,              0.5243,             0.62884,             0.31504,            0.025451,            0.038065,                   0,           0.0078135,           0.0078135,           0.0078135
                  23,            0.024116,             0.01649,                   0,             0.83716,             0.53981,             0.63733,             0.30338,            0.025602,            0.033773,                   0,           0.0076213,           0.0076213,           0.0076213
                  24,            0.024241,            0.015639,                   0,             0.90057,             0.53695,             0.64305,             0.32308,            0.025118,            0.039046,                   0,            0.007424,            0.007424,            0.007424
                  25,            0.023144,            0.015271,                   0,             0.88136,              0.5492,             0.65415,             0.31568,            0.025137,            0.037055,                   0,           0.0072221,           0.0072221,           0.0072221
                  26,            0.023067,            0.015055,                   0,             0.88524,             0.54185,             0.64308,             0.31282,            0.026373,            0.036932,                   0,            0.007016,            0.007016,            0.007016
                  27,            0.022251,            0.014738,                   0,             0.85785,             0.54961,             0.65123,             0.32489,            0.024802,            0.039001,                   0,           0.0068063,           0.0068063,           0.0068063
                  28,            0.022222,            0.014435,                   0,             0.82677,             0.57697,             0.65691,             0.29773,             0.02437,            0.038684,                   0,           0.0065934,           0.0065934,           0.0065934
                  29,            0.023258,            0.014283,                   0,             0.85761,             0.53613,             0.63197,             0.30943,            0.024419,            0.038605,                   0,           0.0063779,           0.0063779,           0.0063779
                  30,            0.022781,            0.014166,                   0,             0.85133,             0.55886,             0.65226,             0.30965,            0.024894,             0.03839,                   0,           0.0061603,           0.0061603,           0.0061603
                  31,            0.022163,            0.013667,                   0,             0.89779,             0.51645,             0.62883,             0.31106,            0.025171,            0.041037,                   0,           0.0059411,           0.0059411,           0.0059411
                  32,            0.021633,            0.013497,                   0,               0.822,             0.55655,             0.64642,             0.30453,            0.024245,            0.039607,                   0,           0.0057208,           0.0057208,           0.0057208
                  33,            0.020924,            0.013451,                   0,             0.83769,                0.51,             0.61175,             0.29803,            0.024621,             0.04181,                   0,              0.0055,              0.0055,              0.0055
                  34,            0.021006,            0.013273,                   0,             0.84691,             0.52225,             0.62241,             0.30213,            0.024961,            0.039424,                   0,           0.0052792,           0.0052792,           0.0052792
                  35,            0.020175,            0.012956,                   0,             0.85923,             0.54594,             0.63661,             0.31466,            0.025087,            0.040026,                   0,           0.0050589,           0.0050589,           0.0050589
                  36,            0.020975,            0.012693,                   0,             0.88471,             0.51572,             0.61462,             0.31184,             0.02463,            0.042931,                   0,           0.0048397,           0.0048397,           0.0048397
                  37,            0.020621,            0.012678,                   0,             0.82596,              0.5243,             0.61501,             0.30313,            0.024515,            0.040999,                   0,           0.0046221,           0.0046221,           0.0046221
                  38,             0.02126,            0.012572,                   0,             0.84694,             0.47899,             0.57624,             0.28297,            0.025443,            0.046252,                   0,           0.0044066,           0.0044066,           0.0044066
                  39,            0.020272,            0.012541,                   0,             0.85326,             0.52237,             0.61697,             0.30633,            0.025055,            0.044616,                   0,           0.0041937,           0.0041937,           0.0041937
                  40,            0.020012,            0.012158,                   0,             0.84533,             0.52389,             0.60793,             0.31714,            0.025609,            0.046883,                   0,            0.003984,            0.003984,            0.003984
                  41,            0.020139,            0.012326,                   0,             0.88327,             0.53165,             0.61736,             0.31781,            0.024567,            0.043333,                   0,           0.0037779,           0.0037779,           0.0037779
                  42,            0.019448,            0.012004,                   0,             0.83839,             0.53859,             0.61749,             0.31662,            0.025166,             0.04393,                   0,            0.003576,            0.003576,            0.003576
                  43,            0.019324,            0.011939,                   0,             0.81001,              0.5051,             0.59176,             0.29408,            0.025744,              0.0486,                   0,           0.0033787,           0.0033787,           0.0033787
                  44,            0.019084,            0.011865,                   0,             0.87296,             0.52469,             0.61128,             0.31064,              0.0254,            0.046345,                   0,           0.0031865,           0.0031865,           0.0031865
                  45,            0.018805,            0.011697,                   0,             0.84555,             0.54768,             0.63152,             0.31689,            0.025755,            0.042605,                   0,           0.0029999,           0.0029999,           0.0029999
                  46,            0.019096,            0.011508,                   0,             0.86441,             0.53887,              0.6337,              0.3158,            0.024634,            0.043106,                   0,           0.0028194,           0.0028194,           0.0028194
                  47,            0.019004,            0.011374,                   0,             0.83218,             0.54308,             0.63629,             0.32776,            0.024353,            0.044726,                   0,           0.0026452,           0.0026452,           0.0026452
                  48,            0.018654,            0.011195,                   0,             0.85444,             0.53083,             0.62659,             0.32055,            0.024958,            0.044432,                   0,            0.002478,            0.002478,            0.002478
                  49,            0.018279,            0.011278,                   0,             0.87713,             0.55982,             0.65883,             0.33154,            0.024784,            0.041724,                   0,            0.002318,            0.002318,            0.002318
                  50,            0.018543,            0.011151,                   0,             0.88664,             0.55329,             0.64959,             0.32194,            0.024431,             0.04037,                   0,           0.0021657,           0.0021657,           0.0021657
                  51,            0.018063,             0.01101,                   0,              0.8171,             0.56554,             0.65099,             0.32395,            0.024671,            0.041104,                   0,           0.0020215,           0.0020215,           0.0020215
                  52,             0.01761,            0.011047,                   0,             0.87351,              0.5541,             0.65012,             0.32665,            0.024199,            0.041756,                   0,           0.0018856,           0.0018856,           0.0018856
                  53,            0.017609,            0.010905,                   0,             0.86518,             0.53981,             0.63591,             0.31563,             0.02454,            0.042405,                   0,           0.0017584,           0.0017584,           0.0017584
                  54,            0.017455,            0.010795,                   0,             0.89515,             0.54384,             0.65729,             0.32907,            0.024383,            0.041224,                   0,           0.0016402,           0.0016402,           0.0016402
                  55,            0.017637,            0.010655,                   0,             0.85539,             0.56036,             0.65952,             0.33202,            0.024394,            0.041159,                   0,           0.0015314,           0.0015314,           0.0015314
                  56,            0.017794,            0.010842,                   0,             0.86001,             0.53433,               0.635,             0.32037,            0.023969,            0.042777,                   0,            0.001432,            0.001432,            0.001432
                  57,            0.017412,            0.010656,                   0,             0.82778,             0.57112,             0.66251,              0.3337,            0.024107,            0.042234,                   0,           0.0013425,           0.0013425,           0.0013425
                  58,            0.017012,            0.010612,                   0,             0.89782,             0.54145,             0.66316,             0.33377,            0.024206,            0.042158,                   0,           0.0012631,           0.0012631,           0.0012631
